"type","lineno","license","cust_ID","sched","promised","RO_prn","inv_prn","status","timein","timeout","location","custname","ymm","recno","hat","dateposted","lastitemused","vehicle_ID","writer","odom_in","odom_out","balancedue","writernum","refno","estlaboramt","estpartsamt","esthours","laboramt","partsamt","taxamt","defaultTech","defaultTechParts","hazwaste","shopsupplies","hazwasteamt","shopsuppliesamt","versionstring","taxversion","taxamtmat1","taxamtmat2","taxamtmat3","taxamtmat4","taxamtmat5","taxamtmat6","taxamtmat7","taxamtmat8","taxamtmat9","taxamtlab1","taxamtlab2","taxamtlab3","taxamtlab4","taxamtlab5","taxamtlab6","taxamtlab7","taxamthazmat","taxamtshopsupplies","PrintedDate","discountamt","estdiscountamt","EstimateTax","EstimateHazmat","EstimateShopSupplies","CreatedAsEstimate","ReasonForVisit"
,,"BM52741",30109,,,,,"C",,,,,,73886,,2013-01-22,,40847,"KIT",,,957.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-18,,,,,,,
,,"NLH767",26046,,,,,"C",,,,,,66323,,2011-09-01,,35254,"KIT",,,125.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-27,,,,,,,
,,"CYM856",25970,,,,,"C",,,,,,66351,,2011-08-31,,35153,"CB",,,847.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-30,,,,,,,
,,"31BVF9",23996,,,,,"C",,,,,,60085,,2009-12-01,,32456,"CB",,,94.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-27,,,,,,,
,,"CT1D795",29955,,,,,"C",,,,,,73549,,2013-01-07,,40625,"ROB",,,490.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-02,,,,,,,
,,"111XCF",22118,,,,,"C",,,,,,60112,,2009-12-03,,29961,"CB",,,283.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-02,,,,,,,
,,"BM7 N516",29023,,,,,"V",,,,,,71353,,,,39259,"KIT",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-12,,,,,,,
,,"746VZS",22118,,,,,"C",,,,,,63665,,2010-11-20,,33832,111,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-20,,,,,,,
,,"Y65SFJ",21712,,,,,"C",,,,,,66342,,2011-09-02,,35476,"CB",,,163.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-30,,,,,,,
,,,29430,,,,,"V",,,,,,72212,,,,39837,"ROB",,,94.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-23,,,,,,,
,,432,11224,,,,,"C",,,,,,54711,,2008-02-29,,15772,"DM",,,42.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-27,,,,,,,
,,"767FLX",25321,,,,,"C",,,,,,63249,,2010-10-12,,34289,"CB",,,75.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-12,,,,,,,
,,"Z15NXH",8509,,,,,"C",,,,,,63388,,2010-11-01,,28976,"CB",,,1170.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-25,,,,,,,
,,"ZKK99Z",9528,,,,,"C",,,,,,45768,,2006-02-18,,21839,"SG",,,249.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-16,,,,,,,
,,"M20HWG",17015,,,,,"C",,,,,,57309,,2008-12-31,,22561,"CB",,,1931.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-12-29,,,,,,,
,,,9912,,,,,"C",,,,,,45207,,2005-12-31,,23921,"CG",,,301.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-12-29,,,,,,,
,,"513GKS",18804,,,,,"C",,,,,,48634,,2006-09-26,,25028,"NM",,,582.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-09-25,,,,,,,
,,"BBZ4987",27825,,,,,"C",,,,,,73363,,2012-12-20,,37620,"ROB",,,38.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-20,,,,,,,
,,"BS2T968",29034,,,,,"C",,,,,,71365,,2012-09-13,,39274,111,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-12,,,,,,,
,,"57WZK1",21505,,,,,"C",,,,,,54639,,2008-02-20,,28987,"DM",,,659.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-19,,,,,,,
,,"JGK197",24559,,,,,"C",,,,,,61389,,2010-04-20,,33242,"CB",,,613.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-20,,,,,,,
,,,20567,,,,,"C",,,,,,51821,,2007-06-16,,27561,"SG",,,137.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-06-15,,,,,,,
,,"HPX201",21866,,,,,"C",,,,,,55711,,2008-06-18,,29523,"CB",,,706.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-06-18,,,,,,,
,,"W91 VLP",19942,,,,,"C",,,,,,50913,,2007-04-02,,26689,"SG",,,171.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-04-02,,,,,,,
,,"S05NZR",15750,,,,,"V",,,,,,42143,,,,20793,"SG",,,137.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-29,,,,,,,
,,"Z15NXH",8509,,,,,"C",,,,,,60876,,2010-02-26,,28976,"TN",,,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-26,,,,,,,
,,"AU05504",27362,,,,,"C",,,,,,67802,,2012-01-20,,36977,"KIT",,,75.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-19,,,,,,,
,,"DC1R014",29189,,,,,"C",,,,,,71738,,2012-10-03,,39493,"ROB",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-01,,,,,,,
,,"N74TWH",17334,,,,,"C",,,,,,43730,,2005-09-02,,22924,"SG",,,177.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-26,,,,,,,
,,"W78PXB",12230,,,,,"C",,,,,,58445,,2009-05-26,,24127,"DM",,,164.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-05-22,,,,,,,
,,"978VRW",22099,,,,,"C",,,,,,56148,,2008-08-08,,29862,"DM",,,529.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-08-06,,,,,,,
,,"DC2H450",9061,,,,,"V",,,,,,73217,,,,40434,111,,,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-13,,,,,,,
,,"W28LJF",23115,,,,,"C",,,,,,60317,,2009-12-30,,31269,"CB",,,487.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-28,,,,,,,
,,,16773,,,,,"C",,,,,,47354,,2006-06-27,,25106,"SG",,,446.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-23,,,,,,,
,,,30080,,,,,"V",,,,,,73830,,,,40804,"ROB",,,47.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-16,,,,,,,
,,"CB4W937",25852,,,,,"C",,,,,,64443,,2011-02-08,,35003,"CB",,,94.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-08,,,,,,,
,,"127CMW",23015,,,,,"C",,,,,,58110,,2009-04-23,,31128,"CB",,,460.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-13,,,,,,,
,,"096XFF",25669,,,,,"C",,,,,,63996,,2011-01-03,,34743,"CB",,,1523.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-22,,,,,,,
,,"PVJ628",24216,,,,,"C",,,,,,61624,,2010-05-21,,32768,"CB",,,94.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-18,,,,,,,
