"keyid","workid","seqno","description","performed","qty","cost","price","sale","partno","hours_charged","hours_actual","hours_pay","version","taxdollars","part_labor","discountlevel","vendorcode","tax1","tax2","tax3","tax4","tax5","tax6","tax7","tax8","tax9","tax10","acctclass","category","staticamt","techsel","TechNum","partConfirm","partCommited","accessory","part_unique","Commission","package","Symptom","LongCode","ReqCode","sMfgCode","sTSBSymptom","sTSBCategory","sTSBSystem","sUpcCode","sPartsHier","QtyConfirmed","ConfirmNum","sTSBTitle","sWDLineCode","sAffGrpId","sCatPartType","fList","bPartOrdered"
223,113,1,"Replace both left rear inner and outer Constant Velocity Boots","Remove driveshaft assembly.  Clean and repack Constant Velocity joint.  Replace protective boot.  Reinstall driveshft assembly.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
224,114,1,"Replace right rear outer Constant Velocity Boot","Remove driveshaft assembly.  Clean and repack Constant Velocity joint.  Replace protective boot.  Reinstall driveshft assembly.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
225,115,1,"Replace right rear inner Constant Velocity Boot","Remove driveshaft assembly.  Clean and repack Constant Velocity joint.  Replace protective boot.  Reinstall driveshft assembly.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
226,116,1,"Replace both right rear inner and outer Constant Velocity Boots","Remove driveshaft assembly.  Clean and repack Constant Velocity joint.  Replace protective boot.  Reinstall driveshft assembly.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
227,117,1,"Replace center universal joint","Remove driveshaft.  Replace universal joint. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
228,118,1,"Replace front universal joint","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,4,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
229,119,1,"Replace front and rear universal joints","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,4,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
230,120,1,"Replace rear universal joints","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
231,121,1,"Replace front and rear universal joints","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
232,122,1,"Replace front universal joint","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
233,123,1,"Replace rear universal joints","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
234,124,1,"Replace front, center and rear universal joints","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
235,125,1,"Replace front and center universal joints","Remove driveshaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,4,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
236,126,1,"Replace center and rear universal joints","Remove drive shaft.  Replace universal joints. Reinstall driveshaft.  Road test vehicle",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
237,127,1,"Replace driveshaft center support bearing","Remove driveshaft.  Replace center support bearing. Reinstall driveshaft.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,150,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
238,128,1,"Wheel alignment check","Road test vehicle.  Check all suspension and steering parts for wear.  Check tire pressure and condition.  Check riding height.   Check caster and camber and toe in.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,151,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
